"regular_unique_genes"	"regular_unique_transcripts"	"mt.content.x"	"mt_unique_genes"	"mt_unique_transcripts"	"mt.content.y"	"rep"	"x"	"y"	"new_x"	"new_y"	"pixel_x"	"pixel_y"	"selected"	"selected_mt"	"added_in_old"	"added_in_new"	"diff_spots"	"combined_selection"	"sample_id"
"10x11x11"	1876	4050	0	2324	5468	0.0526700804681785	"10"	11	11	10.89	10.84	3849.2	2971.2	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x12"	NA	NA	NA	NA	NA	NA	"10"	11	12	10.96	12.06	3863.2	3237.3	1	0	0	1	"new"	1	"E2_1000L2_CN74"
"10x11x13"	2227	4807	0	2672	6387	0.058399874745577	"10"	11	13	10.92	12.87	3854.8	3413.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x14"	2068	4995	0	2487	6573	0.0645063137075917	"10"	11	14	10.91	13.93	3852.4	3644.7	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x15"	2047	4791	0	2537	6502	0.0689018763457398	"10"	11	15	10.91	14.95	3852.4	3867.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x16"	2097	4816	0	2612	6494	0.0555897751770865	"10"	11	16	10.91	15.95	3852.4	4087.5	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x17"	1874	3786	0	2230	5042	0.0414518048393495	"10"	11	17	10.9	16.99	3851.2	4314.1	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x18"	1579	3368	0	1948	4486	0.0695497102095408	"10"	11	18	10.91	17.97	3852.4	4528.8	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x19"	2061	4304	0	2463	5625	0.0725333333333333	"10"	11	19	10.91	19.01	3852.4	4755	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x2"	NA	NA	NA	NA	NA	NA	"10"	11	2	10.88	1.89	3845.6	1015.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x20"	1440	2734	0	1712	3436	0.0672293364377183	"10"	11	20	10.91	20.01	3852.4	4974.4	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x21"	1524	2695	0	1807	3481	0.0723929905199655	"10"	11	21	10.94	20.97	3858.5	5184	1	1	0	0	"both"	1	"E2_1000L2_CN74"
"10x11x22"	NA	NA	NA	NA	NA	NA	"10"	11	22	10.97	21.92	3865.9	5392.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x23"	NA	NA	NA	NA	NA	NA	"10"	11	23	10.96	22.97	3863.5	5621.3	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x24"	NA	NA	NA	NA	NA	NA	"10"	11	24	10.91	23.92	3854.1	5828.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x25"	NA	NA	NA	NA	NA	NA	"10"	11	25	10.89	24.95	3848.1	6053.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x26"	NA	NA	NA	NA	NA	NA	"10"	11	26	10.96	25.93	3864	6268.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x27"	NA	NA	NA	NA	NA	NA	"10"	11	27	10.97	26.75	3867.1	6446.5	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x28"	NA	NA	NA	NA	NA	NA	"10"	11	28	10.83	28.05	3836.2	6731.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x29"	NA	NA	NA	NA	NA	NA	"10"	11	29	10.97	28.94	3867.1	6925.9	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x3"	NA	NA	NA	NA	NA	NA	"10"	11	3	10.91	2.99	3852.4	1255.6	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x30"	NA	NA	NA	NA	NA	NA	"10"	11	30	10.98	29.93	3868.6	7142.1	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x31"	NA	NA	NA	NA	NA	NA	"10"	11	31	10.87	30.84	3843.8	7342.4	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x32"	NA	NA	NA	NA	NA	NA	"10"	11	32	10.95	31.97	3861	7589	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x33"	NA	NA	NA	NA	NA	NA	"10"	11	33	10.9	33.02	3849.9	7818.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x34"	NA	NA	NA	NA	NA	NA	"10"	11	34	11.01	33.85	3874.5	8000.2	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x35"	NA	NA	NA	NA	NA	NA	"10"	11	35	11.02	35.01	3877	8251.7	0	0	0	0	"0"	0	"E2_1000L2_CN74"
"10x11x4"	2277	4740	0	2701	6365	0.0538884524744698	"10"	11	4	10.91	3.97	3852.4	1467.9	1	1	0	0	"both"	1	"E2_1000L2_CN74"
