	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X12x18	0.022234809	0.015928116	0.05368531	0.06764267	0.060985275	0.31253842	1.1842917e-11	0.033179622	0.035758916	1.18731795e-11	0.011097463	0.04192769	0.064023875	0.10982469	0.17117317
X12x19	0.017511662	0.0063528474	0.051927224	0.058347918	0.07818616	0.2554485	0.01898059	1.0227942e-11	0.024779052	1.0264136e-11	0.045064054	0.027278317	0.07126217	0.1434643	0.2013973
X13x16	0.01657573	0.033371903	0.038921703	0.08000169	0.12532333	0.18808638	1.3753987e-11	1.3751077e-11	0.081424564	0.07768517	0.012975853	0.043342523	0.17055647	0.03043459	0.101300046
X13x17	0.020813912	0.013326715	0.07296146	0.062898904	0.003811361	0.034040242	1.0104069e-11	1.00620475e-11	0.017866224	0.06401626	0.04693776	1.0121467e-11	0.19760205	0.14677873	0.3189464
X13x18	0.031831942	0.020307953	8.784804e-12	0.07689793	0.009498713	0.099649526	8.763215e-12	0.008161779	0.0052662306	0.028751155	0.118999854	0.03698193	0.17112155	0.14045821	0.2520732
X13x19	0.05000249	0.018761553	0.07638645	0.052203428	0.008914175	0.13294941	7.1657268e-12	7.1834617e-12	0.008752383	7.186477e-12	0.043571826	0.066161804	0.15702817	0.11440382	0.27086452
X13x20	0.093007386	8.608593e-12	0.054633856	0.108315125	8.647711e-12	0.14885573	8.615657e-12	8.603274e-12	0.048390545	0.013722796	8.654608e-12	0.025475375	0.10989333	0.09674478	0.30096105
X13x21	0.06871423	0.01577915	0.042284288	0.15345801	5.204161e-12	0.115416735	5.1922334e-12	0.014671179	0.021636527	0.06876713	0.028535118	0.04732864	0.055356633	0.14307229	0.22498
X14x15	1.29691145e-11	0.042866055	0.05645738	0.018988024	0.15071353	0.14551528	1.3040776e-11	1.29743855e-11	0.03103749	0.017135497	0.09927984	0.08736955	0.14319272	0.060651243	0.14679343
X14x16	0.030242492	0.014916122	0.0835344	0.047371928	0.025274493	0.058319356	6.6908727e-12	6.6949194e-12	0.03134501	0.020675452	0.102058485	0.0369699	0.28772476	0.05467729	0.20689037
X14x17	0.09248739	0.10779832	0.06578166	0.094196364	0.007803798	0.05138465	1.0274693e-11	1.0276025e-11	0.037425715	0.036551125	0.012847303	1.0279063e-11	0.1142436	0.06219022	0.31728983
X14x18	0.047226075	0.16567759	0.06498127	0.07667098	0.008326289	0.0367675	0.09599653	6.5921058e-12	0.040391997	6.634703e-12	6.634045e-12	0.065676756	0.09986285	0.08357152	0.21485059
X14x19	0.09469683	0.13663438	0.07184528	8.434105e-12	8.421326e-12	8.433044e-12	0.027174074	0.011157835	8.434605e-12	0.050494127	0.023568477	0.08310295	0.074798524	0.112843685	0.31368384
X14x20	0.068831794	0.14155172	1.0912913e-11	0.05793102	0.0145502305	1.0958613e-11	0.078046374	1.0924325e-11	0.01382885	0.06352934	0.009069055	0.03410952	0.11459247	0.124507874	0.2794517
X14x21	0.10923582	0.060429193	0.08679925	0.09258423	0.010347592	1.2735537e-11	0.094639674	6.9359627e-12	0.040591575	6.9422896e-12	0.022032734	0.018087132	0.089946546	0.13847883	0.2368274
X14x22	0.038355246	0.016652448	0.057275876	0.1380715	0.008506819	0.094254725	9.109995e-12	9.0694076e-12	0.03656665	9.1167915e-12	0.04887161	9.086203e-12	0.091115	0.17669654	0.29363358
X14x23	0.025219977	0.007146875	0.055645954	0.08863683	0.15263686	0.31438577	0.010493814	7.650775e-12	0.024366276	7.7032105e-12	0.039532304	0.012655664	7.670588e-12	0.087981835	0.1812979
X15x15	0.026262801	1.4791076e-11	1.4759683e-11	0.16871731	0.0135160275	0.04798272	0.041216586	1.4737432e-11	0.03343576	0.040568672	0.06834745	0.08862048	0.26497686	0.061612867	0.14474252
X15x16	7.1299295e-12	0.13686855	0.06863954	0.04659308	0.010265567	0.027243255	0.02235253	0.05640364	0.032865975	0.06334685	0.06140651	7.1236086e-12	0.23729742	0.024322666	0.21239439
X15x17	0.0717428	0.07013672	0.07438122	0.018360857	0.0057622455	0.019796599	0.028440649	9.0544594e-12	0.03352961	0.03351765	0.023852486	0.049152452	0.2568157	0.026158877	0.28835213
X15x18	0.013912175	0.09138027	0.057701882	0.08782263	0.002778423	0.027232127	0.014420751	7.3074775e-12	0.04289786	0.047464605	7.37494e-12	0.04314182	0.20665458	0.0703946	0.29419824
X15x19	0.07194803	0.019091241	0.06411786	0.08054442	0.009983605	0.034466755	8.2683305e-12	8.265918e-12	0.04251441	8.295043e-12	0.018568773	0.021534001	0.21089669	0.10399756	0.32233664
X15x20	0.08763432	0.06294251	0.061497647	0.02554004	1.0081857e-11	0.033925164	1.0086012e-11	0.022777792	0.025488641	0.054740667	0.017148253	0.024683725	0.18710482	0.099115334	0.2974011
X15x21	0.118653916	0.033818092	0.081761226	0.039509058	0.012370486	0.038393073	9.644864e-12	9.628065e-12	0.0181093	0.009077353	2.6874248e-11	0.01778341	0.1650664	0.13753216	0.32792556
X15x23	0.023871792	0.011032942	0.06497009	0.09433733	0.014265205	0.1025697	0.02073897	0.01946246	0.030188441	0.05714274	0.018086765	0.028269595	0.1534633	0.11526177	0.2463389
X15x24	9.169557e-12	0.025731605	0.044648554	0.11934282	0.043135896	0.4006776	0.095805675	9.144057e-12	0.03271725	9.152363e-12	0.030940956	0.031944532	0.025802584	0.11466385	0.034588724
X16x15	0.001871412	0.014577721	0.049335916	0.09369718	0.14909574	0.15778847	8.808132e-12	0.016452752	0.02262047	8.82441e-12	0.12027254	0.11220936	0.1261136	0.037543774	0.09842106
