	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X13x20	0.0064612688	0.023085603	0.052731402	0.11524821	0.015400031	0.053174548	0.020013623	0.0072756694	0.033941343	0.075546555	0.037467767	7.352451e-12	0.3304171	0.024461905	0.204775
X13x21	0.039550293	0.010158442	6.908012e-12	0.075014785	0.031055147	0.2695278	0.2963962	6.904732e-12	0.008964114	6.916041e-12	6.914445e-12	0.049162008	0.11543401	0.081168	0.023569284
X13x22	0.10855854	0.071334	6.335993e-12	0.014947824	0.01757425	0.03302173	0.2871375	0.28655547	0.010472171	0.012055404	0.008488335	0.07129926	0.06495006	0.010735283	0.0028701478
X13x23	0.09487322	0.02629521	0.043702066	0.045242764	0.01543694	0.016734457	0.2703852	0.24983858	0.025477394	6.0354894e-12	6.0203587e-12	0.051263053	0.12850976	0.032241374	6.0110424e-12
X13x24	0.17431287	0.023911193	0.06586692	0.031113904	0.033388916	0.020283759	0.19864172	0.16372739	0.004022666	0.012767565	6.022096e-12	0.052161355	0.19318224	0.017575707	0.009043725
X13x25	0.27439836	0.010916701	0.07378595	0.06272984	0.10681696	0.011592684	0.04620875	2.0464278e-11	2.0537986e-11	0.033636075	2.0505812e-11	0.054316197	0.20439717	0.11699762	0.0042036283
X14x11	0.022992028	0.08167106	0.044762716	0.07170515	0.036436915	0.016653903	5.748322e-12	0.028445054	5.7501534e-12	0.094268374	0.030844618	0.052757155	0.2581121	0.018547017	0.24280392
X14x12	0.03034244	0.19498172	5.724898e-12	0.050895695	0.037350524	0.010324603	5.716561e-12	0.0076114303	5.740468e-12	0.1216004	5.7411463e-12	0.04358298	0.25717247	0.030964274	0.21517345
X14x13	0.029928766	0.11052761	6.9561926e-12	0.05523228	0.023243187	0.024103986	0.035583206	6.946871e-12	6.9619133e-12	0.07082775	0.010701277	0.04675023	0.30436602	0.02962184	0.2591138
X14x14	0.036423508	0.119500615	0.05662873	0.039019108	0.022369688	6.0424066e-12	0.025921429	6.054335e-12	0.022278115	0.075563625	0.010143472	0.029688496	0.2716468	0.018907042	0.27190936
X14x15	0.024179397	0.10690023	0.12695245	0.026392007	0.013423684	3.1959559e-12	0.1444857	0.14442536	0.008642644	0.022427201	0.014828604	0.14392237	0.14228874	0.032379176	0.048752382
X14x16	0.048794273	0.080892675	0.1271557	0.039335772	0.038861625	0.0051402235	0.12809865	0.12805596	0.040218294	0.013866131	0.016174883	0.12762085	0.12702674	0.019908877	0.058849405
X14x17	0.028389597	0.060009334	0.113481484	0.0147220595	0.024258511	4.659938e-12	0.21071249	0.21062326	0.027015956	4.65737e-12	4.6589603e-12	0.15895073	0.09095477	0.03234617	0.02853569
X14x18	0.0394965	0.06255769	0.1186684	0.00861863	0.031036826	0.010840363	0.15525198	0.15520488	0.020714782	3.43437e-12	0.007842207	0.1542583	0.1310685	0.031105699	0.07333519
X14x19	0.043434065	0.026270153	0.08491782	0.03693838	9.099913e-12	0.03677687	0.017004102	9.050581e-12	0.031834424	0.021193733	0.024794701	0.029431723	0.23797931	0.024547106	0.38487765
X14x20	0.028299753	0.1675863	0.047795683	0.08221204	0.016835487	0.007048639	0.10897249	0.00579562	0.023817707	0.0526892	8.417914e-12	0.04452168	0.2097352	0.0431791	0.1615112
