	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X10x10	9.617814e-12	0.016777638	0.018751115	0.07879985	0.16071644	0.073278666	0.03476755	9.617027e-12	9.616494e-12	0.0812735	0.046114452	0.056527622	0.21570235	0.01746705	0.19982377
X10x11	8.264544e-12	0.052394684	0.03147453	0.1081173	0.022800809	0.09042917	0.01608653	8.20217e-12	0.015844693	0.05226447	0.082409106	8.2477115e-12	0.30265796	0.016601829	0.20891891
X10x12	0.026983088	0.2282852	0.05813276	0.06752851	0.0075853188	0.04573591	0.0413563	5.824961e-12	5.858857e-12	0.06544915	0.059727423	0.04490355	0.17176475	0.039347332	0.14320078
X10x13	0.05921316	0.145	0.0397765	0.025177639	0.036244303	0.013010088	6.0768795e-12	6.068424e-12	0.015659552	0.090523206	0.017859655	0.040217858	0.27369308	0.026562119	0.21706277
X10x15	0.045100834	0.119135566	0.06930006	0.048054233	0.0030571045	0.027198436	7.741392e-12	7.7303546e-12	7.800977e-12	0.09277506	0.01062564	0.03462784	0.28031585	0.070380084	0.1994293
X10x16	0.05740315	0.080034055	0.040238943	0.039775643	0.020687494	0.012395405	0.010063869	6.5514343e-12	6.5999216e-12	0.08365804	0.039942563	6.591204e-12	0.28818798	0.032678444	0.2949344
X10x17	0.053736288	0.101935156	0.037842616	0.0716786	7.233693e-12	0.07776401	0.0134833725	7.207168e-12	7.2601486e-12	0.0499619	0.010610448	0.033472586	0.3044873	0.017983327	0.22704439
X10x18	1.0777373e-11	0.0075286096	0.040443648	0.10801312	0.0134316115	0.13486154	0.031655043	1.0729727e-11	1.0769688e-11	0.05108519	0.06802822	0.033333797	0.2283902	0.044815198	0.23841377
X10x19	0.048783176	1.4336827e-11	0.049452465	0.04392431	0.072306424	0.41529712	0.06605712	0.019351821	1.4415825e-11	0.035577405	1.4450373e-11	0.12656403	0.06514849	1.4445883e-11	0.057537727
X10x21	0.23080897	0.081128776	0.055021893	0.047178682	0.17652033	0.07249522	0.03631143	1.3004806e-11	1.3031947e-11	1.3006543e-11	1.3002848e-11	0.020791493	0.176608	0.050241742	0.052893493
X10x22	0.08802444	0.049696013	0.0117667075	0.041727047	0.07604649	0.14764313	0.03171172	0.04132106	1.9916515e-11	0.05654053	1.9956859e-11	0.09849574	0.3017869	0.013319621	0.041920554
X11x10	0.022435552	0.032371324	0.042215914	0.0456131	0.019987429	0.038926665	0.020790322	5.8132236e-12	0.011534523	0.10321937	0.04947184	0.0707232	0.26218408	0.01800204	0.26252466
X11x11	0.014923842	0.15533304	0.03432578	0.04428955	0.0057275835	0.010608543	6.813219e-12	0.014611367	0.0017236735	0.060087465	0.054467943	0.029976483	0.30594176	0.014766446	0.25321653
X11x12	0.032288104	0.18279757	0.0345198	0.0918853	0.010415912	0.062459957	0.020445267	0.0052851625	0.033999976	0.054252855	0.030881263	0.04879538	0.22023916	1.6997805e-05	0.17171735
X11x13	0.055730738	0.1732734	0.07086566	0.065788716	0.016107786	0.0063917427	0.016378189	0.022480875	0.010228665	0.05048761	0.034270894	6.4591566e-12	0.23497093	0.055743165	0.18728171
X11x14	0.09700729	0.15206423	0.089024544	0.052138828	8.274838e-12	0.011272345	0.03311308	0.07115902	8.276164e-12	0.061020292	0.0029588058	8.251103e-12	0.18709505	0.046488766	0.19665775
X11x15	0.057302773	0.14495249	6.573055e-12	0.06409581	0.023302473	0.018428575	6.573569e-12	0.0123112975	6.5927177e-12	0.079051726	0.007496787	0.026946124	0.26277578	0.06165273	0.24168345
X11x16	0.06704005	0.13848929	0.058562066	0.05875495	0.012934869	0.0027986648	0.028105976	7.1675036e-12	0.006576925	0.058009047	7.166683e-12	0.015958989	0.23010309	0.021065315	0.30160075
X11x17	0.17019878	0.035909656	0.100902416	0.054333504	0.020554978	0.016961843	5.0207824e-12	5.0050255e-12	0.017369654	0.048841964	5.0438664e-12	0.035276253	0.22723238	0.04540096	0.22701757
X11x18	0.030896144	0.085472815	0.055545293	0.048536107	0.01346243	0.02252967	0.030280245	0.047482707	0.02585615	0.07164249	6.537442e-12	0.034199808	0.23397791	0.04333688	0.25678134
X11x19	0.034722302	0.012866617	0.070317976	0.09053664	0.02289053	0.030440664	5.530049e-12	0.0091754	0.009807173	0.06731406	0.065137945	0.051178403	0.18739408	0.10117507	0.24704315
X11x21	0.22970091	0.15177944	0.051149555	0.05180453	0.045348167	1.1283805e-11	0.019257253	0.013364407	0.0060537816	0.023082701	0.031184698	0.06079067	0.22826275	0.026750775	0.061470356
X11x22	0.03383307	0.048664134	0.06896963	0.012142796	0.0030195634	0.03136315	0.24839708	0.24832012	0.0075044786	0.021564238	5.4586813e-12	0.11780326	0.08364197	0.048527535	0.026248975
X11x23	0.16033828	0.044003516	0.021971293	0.055640187	0.27793744	0.123503365	0.027152693	9.996255e-12	0.025000488	1.00110805e-11	0.009097998	0.06099393	0.09361419	0.07066853	0.030078009
X11x9	0.003004096	0.03251542	0.016816176	0.027366385	0.24100302	0.07103948	0.03844863	2.2481747e-11	2.2676966e-11	0.029925019	0.13503373	0.03833463	0.21903269	2.2676014e-11	0.14748071
X12x10	2.2866748e-11	0.14790587	0.048019513	0.066790074	0.034029927	0.01423534	0.010279038	6.6144898e-12	0.023203062	0.093187414	0.020853303	0.03609992	0.23410855	0.013547668	0.25774032
X12x11	0.03312592	0.13023931	7.15306e-12	0.084980085	0.006298332	0.019064931	0.00544525	7.1264097e-12	0.034496885	0.05188375	0.028306719	0.03946395	0.3210545	0.023455618	0.22218482
X12x12	0.054056875	0.1732569	0.04947336	0.03624208	0.0124304155	0.02150254	0.012903786	7.387194e-12	0.0110440925	0.06408906	7.428961e-12	0.026792854	0.18790528	0.04642409	0.3038786
X12x13	0.10080287	0.104882374	0.046876475	0.08260999	8.062454e-12	0.01711127	0.027496643	0.022467494	0.03512163	8.065746e-12	0.019647107	0.07116406	0.19608854	0.05449037	0.22124119
X12x14	0.019310348	0.09227298	0.04766402	0.050223026	0.023729937	0.024315607	0.21074848	0.21797214	0.013321108	0.036300085	4.8544636e-12	0.032366596	0.12015542	0.027725957	0.08389427
X12x15	0.06793231	0.07294453	0.07411407	0.07152746	0.019260231	0.061127417	0.08613561	0.046159726	0.020209184	0.033108186	5.698968e-12	0.036715828	0.16038886	0.02475355	0.22562306
X12x16	0.028270656	0.08442189	0.12647685	0.020104835	0.019256935	0.0096368035	0.14152679	0.14147441	0.027248574	0.014252062	0.011206175	0.14050934	0.13989668	0.026932491	0.06878545
X12x17	0.048606128	0.070412256	0.10539038	0.03532982	0.017491799	0.015719837	0.14659582	0.14655806	0.023652755	0.017162213	0.006787865	0.102710895	0.1395781	0.036148753	0.08785535
X12x18	0.12757519	0.023706967	0.057192154	0.047328904	5.3043646e-12	0.011366094	0.053721603	0.018134696	0.02750567	0.043076072	0.027515592	0.039700255	0.23862693	0.04551666	0.23903312
X12x19	0.02759118	0.005787941	0.09182029	0.0550949	0.011331168	0.07109295	0.01932078	0.012993545	0.0072831283	0.030443596	0.047255173	0.061016653	0.27605206	0.040684912	0.24223174
X12x20	0.037105784	8.264177e-12	0.056371544	0.082104445	0.035859857	0.17364264	0.21293437	0.011980416	8.26383e-12	0.113970034	0.020054804	0.04324851	0.084241286	0.06139141	0.06709484
