	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X16x10	0.03596349	0.021894593	0.025198378	0.08765579	0.038626846	0.15936868	0.014336422	1.0633045e-11	0.020268632	0.11085121	0.029340241	0.043353528	0.22797585	0.016776927	0.16838944
X16x11	0.008937118	0.029201617	9.860346e-12	0.16629606	0.03191449	0.11198091	0.03976084	0.017438548	0.07369217	0.13433902	9.935294e-12	0.04589218	0.18071254	0.025937816	0.13389659
X16x12	2.2318561e-10	8.853552e-12	0.036624692	0.048114315	0.09740884	0.31489006	0.013532473	8.838501e-12	0.022781659	8.861391e-12	0.069848135	0.020526154	0.16454063	0.05999557	0.15173756
X16x16	0.047464836	0.0325323	8.306751e-12	0.014408392	0.03619688	8.361944e-12	0.2950318	0.37583548	0.015043679	8.332315e-12	0.005305367	0.03563537	0.11584349	0.02670247	8.33133e-12
X16x17	0.13353175	0.0675971	1.0054082e-11	0.025063153	1.0070472e-11	0.08370711	0.26054674	0.16538589	1.01109485e-11	0.04018678	1.0111179e-11	0.015473809	0.11889102	0.082481734	0.0071349726
X16x18	0.4310074	1.26561105e-11	0.06203621	0.063504115	1.26640295e-11	0.013220406	0.03677517	1.25551765e-11	0.007887159	0.030476065	1.26051565e-11	0.01650915	0.1647568	0.15593153	0.017895916
X16x6	1.4617045e-11	0.013278857	1.455198e-11	0.113419324	0.100704536	0.23955742	0.03404202	1.4553869e-11	1.4591668e-11	0.025591731	1.4610218e-11	0.06614672	0.20319778	0.017844612	0.18621698
X16x7	0.018218659	9.376796e-12	9.387767e-12	0.10036678	0.04879713	0.05716105	0.008369264	9.370378e-12	0.038209487	0.09514156	0.09159466	0.028292969	0.20629336	0.07087834	0.23667677
X16x8	0.014523345	0.018057805	1.2296095e-11	0.14711396	0.08069591	0.124406606	1.2230087e-11	1.2243764e-11	0.059971593	1.2262018e-11	0.07925615	1.2319334e-11	0.24324219	0.046478923	0.18625346
X16x9	0.015752686	1.2820403e-11	0.023875665	0.12676927	0.0018693947	0.07641581	1.2817542e-11	1.2758369e-11	1.2872544e-11	0.19048226	1.28710705e-11	0.02891116	0.30269104	0.05362234	0.17961028
