	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X12x14	0.2210021	4.1715076e-11	0.06751304	0.07104413	0.1281507	0.11406921	0.13513453	0.012757707	4.178938e-11	4.1644882e-11	4.168899e-11	0.03825391	0.16332287	0.04875174	4.1670386e-11
X12x15	0.19648707	2.6312605e-11	0.023388432	0.059388284	0.05267114	0.07733708	0.10819549	0.037789207	2.6268479e-11	0.020419013	2.6196328e-11	0.06432288	0.23022632	0.12977508	2.633565e-11
X13x14	0.10421174	3.0774636e-11	0.08781197	0.06221593	0.01607051	3.0866167e-11	0.14705646	0.20688207	3.0953063e-11	0.011098412	0.030565703	0.018543651	0.20490524	0.10162493	0.009013417
X13x16	0.27392894	0.08689989	0.034689076	0.03534362	0.001596286	0.033887576	0.10639944	9.877873e-12	9.8339965e-12	9.872976e-12	9.855948e-12	0.007983768	0.29267034	0.12660101	9.8301905e-12
X14x10	1.6608331e-11	1.6629028e-11	0.06709335	0.06191911	0.029482866	0.25685528	0.011885835	0.0076707816	0.020326415	1.6643024e-11	0.057583436	1.6609786e-11	0.2798511	0.07910702	0.1282249
X14x11	1.2617299e-11	0.03499127	0.051481884	0.16255112	0.05828258	0.28915885	0.014295115	0.024658587	1.2616192e-11	0.047953136	0.072465986	0.04377292	0.0696912	0.11015014	0.020547323
X14x14	0.1260766	0.0359056	0.0357147	0.009603743	2.0164962e-11	2.0123543e-11	0.32445076	0.16608475	2.016623e-11	0.014337933	0.012786007	0.0572192	0.1698796	0.04794116	2.005962e-11
X14x16	0.19015162	0.06277372	8.034456e-11	0.012176373	0.019199656	8.0549706e-11	0.19510484	0.09535823	8.110548e-11	0.060200606	8.104749e-11	0.036440022	0.26338834	0.0652066	8.092546e-11
X14x17	0.106833465	0.03700363	0.027132988	8.275611e-11	0.12340308	0.032180913	0.21974863	0.038369957	8.32753e-11	8.331105e-11	8.301063e-11	0.07790019	0.22624098	0.07181394	0.039372284
X14x6	0.030505145	5.012341e-11	0.021856666	0.05935883	0.0756581	0.0025231352	0.058701728	0.013539825	0.039505154	0.129466	0.085431345	0.035120785	0.28707772	0.056035165	0.10522042
X14x7	0.013160117	3.9830594e-11	0.0644113	0.097843386	3.983607e-11	3.9776918e-11	0.037070643	3.9636888e-11	3.989857e-11	3.978876e-11	0.1785111	3.992232e-11	0.35270417	0.036310192	0.2199891
X14x8	0.024101181	0.011790409	0.038021624	0.06731161	0.017086325	0.048330396	0.04840401	1.8404415e-11	1.8426262e-11	0.095955834	1.8448207e-11	0.044215586	0.35117212	0.07944825	0.1741627
X14x9	0.06152131	2.7999474e-11	0.016983815	0.04655621	2.788303e-11	0.09525148	0.023146536	0.024528785	2.1689848e-08	0.012410049	0.051523373	0.08597776	0.43320101	2.7990131e-11	0.14889966
X15x10	0.040736552	0.04423366	0.012811842	0.06834308	0.007949865	1.13834e-11	0.03760267	0.063438825	0.030163003	0.03359209	0.025249263	1.1319012e-11	0.33470842	0.08239074	0.21878009
X15x11	1.7453657e-11	1.7489447e-11	0.037384048	0.14574064	1.7552976e-11	0.06367204	0.047987416	0.04085461	1.7579311e-11	0.018292883	0.03836455	1.7584644e-11	0.33900282	0.052571937	0.2161291
X15x12	0.03613218	0.019021291	1.285938e-11	0.24258044	0.086444475	0.25297654	0.053309713	1.2767828e-11	0.024828715	1.2882801e-11	1.2897847e-11	0.08816536	0.04665636	0.13631077	0.013574149
X15x14	0.17493218	0.014343298	1.9961015e-11	0.047245175	0.020499283	2.0001834e-11	0.23053335	0.17430851	2.0036082e-11	0.02814666	0.010697153	0.051454354	0.090647854	0.12600517	0.031187026
X15x16	0.352176	0.07971643	0.024431895	0.03840131	0.015223484	0.032576963	0.042479657	0.035630587	0.008488891	0.018569794	1.9454495e-11	0.056756753	0.23015183	0.06539636	1.9452528e-11
X15x2	0.010934624	1.7338419e-11	0.0159399	0.0653386	0.100601256	0.129386	0.061978582	0.050816264	0.061693218	0.07296741	0.043695837	0.06588832	0.23364305	0.0019162677	0.085200705
X15x4	0.04257875	0.003864781	2.1059793e-11	0.091188446	0.023209581	0.12070816	0.03077024	2.1015734e-11	0.02612217	0.10637418	0.06405453	0.03598955	0.24595691	0.023440603	0.18574208
X15x5	0.06693426	0.0419008	0.020514868	0.06618415	2.2323364e-11	2.2294727e-11	0.045984138	2.2189516e-11	2.2312933e-11	0.06752144	0.01960341	0.039057564	0.38287708	0.06523081	0.1841915
