	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X21x16	0.31786165	0.039887622	0.06919169	0.039008755	1.652105e-11	0.07553815	0.0927278	0.0245947	5.109629e-09	1.6464803e-11	0.030944372	0.023523493	0.16586615	0.120855555	1.6420988e-11
X21x17	0.23020534	0.07890299	0.04211437	0.055188984	1.5607494e-11	0.011207262	0.068909	0.055095598	1.5642898e-11	0.009933415	0.0017920313	0.056425754	0.26012078	0.10622938	0.023875073
X21x18	0.37716067	0.019687992	0.058891766	0.04557665	0.0739829	0.1208101	1.1358056e-11	0.015335677	0.019120833	1.1357038e-11	0.017783957	0.016774274	0.07084943	0.13047162	0.03355414
X21x3	0.097474836	0.06711863	1.3543022e-11	0.020625075	0.010132891	0.02398223	0.014841187	1.3460871e-11	0.068786435	0.05188967	0.041071255	0.047505084	0.19024494	0.07838908	0.2879387
X21x4	0.14777644	0.09966201	0.07965273	0.05425229	0.01419627	0.023322644	0.033673935	0.01014042	0.033591464	0.06338997	1.4580998e-11	0.013745172	0.14946796	0.06732103	0.20980774
X21x5	0.1311615	0.06170485	0.02249154	0.031095902	1.4899741e-11	1.4995765e-11	0.06312872	1.4949757e-11	0.050304513	0.041570004	0.013413031	0.013244868	0.17071258	0.13583526	0.2653372
X21x6	0.111783884	0.04394975	0.0317039	0.044423066	0.0070019574	1.2923698e-11	0.07588628	1.2812245e-11	0.018869458	0.056962837	0.03826274	0.019250399	0.1809406	0.12509109	0.24587402
X21x7	0.16097665	0.042559277	0.05867845	0.027038792	0.011624529	1.2954379e-11	0.012907543	1.2946624e-11	0.041924864	0.013727193	0.022315064	0.030232575	0.1386261	0.15707316	0.28231582
X21x8	0.041432913	0.009658422	0.053850714	0.019356733	0.014011885	0.022628034	1.2699671e-11	0.032330565	0.1119541	1.2753244e-11	1.2783295e-11	1.2735888e-11	0.26423484	0.11595065	0.31459117
X21x9	0.027232504	2.5444747e-11	0.07539095	2.5393066e-11	2.543388e-11	0.06923309	0.021806387	2.5391127e-11	0.08319878	0.10877965	0.09084924	0.02627711	0.12617059	0.20281792	0.16824381
X22x10	0.04920429	8.742209e-12	0.12713927	0.03203516	0.01717291	0.08327781	0.015556596	0.05063557	0.16009769	0.027406314	0.017845098	0.041736327	0.11899495	0.057900086	0.20099798
