	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X17x16	0.17040414	1.3624273e-11	0.06822606	0.02310068	0.13077524	0.063434176	0.11778402	0.09236663	0.010976931	0.02699798	1.3609754e-11	1.36418515e-11	0.22520304	0.07073102	1.360568e-11
X18x10	0.017419886	0.013289878	0.10238617	0.059011884	1.4881558e-11	0.10789467	0.04060134	0.047241997	0.0637926	0.06925821	1.4982092e-11	0.041581888	0.22059047	0.050212037	0.16671902
X18x11	2.1573111e-11	1.7124854e-11	1.7152935e-11	0.14480233	0.020374823	0.11616817	0.10072174	0.036776293	0.081145324	0.09127458	0.08773895	0.035628613	0.16423531	1.7207692e-11	0.12113385
X18x14	0.17180637	0.055297334	0.06409909	0.03459569	0.097403295	0.036449518	0.03842069	0.12852347	0.013999742	0.023507208	1.582817e-11	0.0988049	0.22381844	0.0132742	1.5833937e-11
X18x15	0.1407764	0.023464188	0.053723283	0.023545006	1.0283582e-11	1.0349225e-11	0.31958967	0.20826836	0.009486913	1.0271566e-11	0.013971516	0.049766473	0.07654208	0.052135356	0.028730774
X18x16	0.12354165	0.042341094	0.075136416	0.022805227	1.5671407e-11	0.02100595	0.32608238	0.20917028	1.5722574e-11	1.5686539e-11	0.01273399	0.029396025	0.080701396	0.057085644	1.5634893e-11
X18x17	0.18849394	0.05591604	1.2805896e-11	0.050258994	0.040709976	1.2870345e-11	0.17869394	0.09173158	1.2924563e-11	1.2920718e-11	0.02715101	0.070807554	0.181352	0.10446833	0.010416672
X18x5	0.03775934	1.6268509e-11	0.033800542	0.05876199	0.0733008	0.1165305	0.0649348	1.613692e-11	0.034501377	0.04544774	0.036854096	0.07070836	0.18638739	0.048384342	0.19262865
X18x6	0.024179595	2.0821393e-11	0.051197134	0.14531898	2.0921632e-11	0.049347524	0.037398167	2.0894992e-11	0.044810526	2.0946307e-11	0.047150932	0.03020333	0.18399636	0.08508724	0.30131024
X18x7	0.04984948	1.5872925e-11	0.056548443	0.09016667	1.5931706e-11	0.05951487	0.04097041	1.5916003e-11	1.5938455e-11	0.033150114	0.034303565	0.026142627	0.29736808	0.09283932	0.21914648
X18x8	0.019068876	0.017519033	0.054063715	0.031311892	0.020138098	0.03288019	0.010574944	0.015943838	0.059428677	0.039711926	0.060181484	0.053105317	0.28444335	0.05115692	0.25047174
X18x9	0.084545985	0.028633323	0.07717401	0.08431797	0.026331032	0.052635007	0.0064025964	0.02681966	1.5813215e-11	0.023810567	0.03763828	1.5683154e-11	0.23509175	0.09341642	0.22318335
