	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X11x5	0.07926022	0.13424027	0.006839774	0.03854815	0.008247225	0.026186934	0.025591291	7.347595e-12	0.04416045	0.073304765	7.415908e-12	0.026214369	0.20036796	0.05426002	0.2827786
X11x6	0.052987352	0.15338689	0.033924874	0.07285816	8.688288e-12	0.013016966	0.03871849	0.01931957	0.04947954	0.03681224	8.678781e-12	0.021330636	0.22448252	0.06603478	0.21764807
X11x7	0.044934783	0.17565861	0.048209663	0.02356916	0.005219049	5.225024e-12	0.021896718	5.1770506e-12	0.042628866	0.07276495	5.223938e-12	0.06855807	0.21614942	0.04612888	0.23428182
X11x8	0.089292325	0.10651269	0.060020827	0.029124457	0.014847609	0.02744774	0.017105442	8.0456475e-12	0.025755357	0.055127304	8.065437e-12	0.02595732	0.25540924	0.04527095	0.24812871
X11x9	0.11167763	0.06585964	1.1128278e-11	0.03846624	0.018075006	0.05754505	1.1082504e-11	0.010256002	0.062179632	0.06874713	0.026099246	1.1157671e-11	0.24842808	0.019766878	0.27289948
X12x10	0.036946017	0.07523198	0.05528147	0.056113727	0.02780769	0.025921851	0.01407598	1.0832449e-11	0.06259618	0.013804772	0.021398177	1.0887132e-11	0.2668589	0.02145862	0.32250464
X12x11	0.015872262	0.045829214	0.021598836	0.0453558	6.968547e-12	0.0075707543	0.031767353	0.007443782	0.07088912	0.036844008	0.037572365	0.04820678	0.2959158	0.03434491	0.300789
X12x12	8.554844e-12	0.026172705	0.05603377	0.09963985	0.0042926045	8.545597e-12	8.500421e-12	8.499174e-12	0.1261322	0.036013145	0.043037005	0.015158166	0.27201363	0.048809607	0.27269733
X12x13	0.0027643973	0.11876688	0.08346761	0.05504625	0.01924795	1.11806675e-11	0.01941818	1.1082344e-11	0.1668511	0.05136994	1.1181243e-11	0.038586263	0.14115618	0.08719904	0.21612613
X12x14	1.5435415e-11	0.2220917	1.5527812e-11	0.08593397	1.5472998e-11	0.0046017505	0.01402874	1.5468305e-11	0.16699405	0.06653676	1.5519608e-11	0.063566126	0.14445183	0.033791523	0.19800358
X12x15	1.1968318e-11	0.12734622	0.07163263	0.07857416	1.1912384e-11	1.1954242e-11	1.19322364e-11	1.19403185e-11	0.14768748	0.035004534	0.02531124	0.0132530015	0.26038292	1.1967359e-11	0.24080783
X12x16	0.0774715	0.01651688	0.045326296	0.081978865	1.1620237e-11	0.049699698	0.017018339	1.1625911e-11	0.030558344	0.08879284	0.032645557	0.0282649	0.18479587	0.07980027	0.26713073
X12x17	0.016199868	1.6325198e-11	0.08059409	0.12996398	0.06135716	0.391793	1.6196981e-11	1.6240476e-11	0.051168866	1.6230938e-11	1.6325323e-11	0.12384931	0.040461574	0.08450661	0.020105561
X12x18	0.30350175	3.450351e-11	0.073273435	0.0421883	3.4583895e-11	0.056677837	0.026729805	3.4525893e-11	3.4595507e-11	3.436998e-11	0.047017876	0.036572766	0.2724344	0.11205179	0.029552057
X12x19	0.1538357	0.055917185	1.0300543e-11	0.069670916	1.0244937e-11	0.06627539	0.09641759	0.103896864	0.039563484	0.012615773	1.0332421e-11	0.06979289	0.2124208	0.103220634	0.016372785
X12x2	0.08339586	0.013610351	0.062246315	0.1252733	6.042941e-12	0.024037505	6.010961e-12	6.0400144e-12	0.022971638	0.10631079	0.017502056	0.044764865	0.1596841	0.06813485	0.27206838
X12x21	0.2860435	1.872037e-11	0.039855067	0.05021979	0.11639734	1.8761192e-11	0.029203316	0.027705133	0.015772007	0.08783787	1.8666603e-11	0.03133217	0.16321033	0.1337404	0.018683068
X12x3	0.002209146	0.0134893125	0.06707359	0.08823397	0.026398351	0.081736885	9.770096e-12	9.7044065e-12	0.061260056	0.074455135	0.014956865	0.0525654	0.1778959	0.060892094	0.27883324
X12x4	9.189965e-12	0.025014	0.054069832	0.15519798	9.132303e-12	0.16784865	9.1690605e-12	9.132894e-12	0.027304698	0.25127938	1.2293849e-11	0.044052098	0.07850968	0.019588562	0.17713512
X12x5	0.06570922	7.6157145e-12	0.065033995	0.11619037	7.6300355e-12	0.011179447	7.588759e-12	0.007564257	0.08135565	0.04706808	0.01961384	0.017059008	0.22348145	0.04391847	0.30182615
X12x6	0.043576144	7.290377e-12	0.044765163	0.07110944	7.261802e-12	0.030461978	0.034757897	0.034924056	0.027989915	0.052518304	0.074779555	0.03125826	0.21342085	0.05133039	0.28910798
